,risk_id,Наименование риска,Класс опасности,Вероятность,Ущерб,Риск,Возможные сценарии
0,1,Утечка газообразного азота,Технологические риски,Средняя,Средний,5.0,"a. Утечка газообразного азота может привести к образованию атмосферы, снижающей содержание кислорода, что создает риск асфиксии для персонала"
1,2,Утечка метанола (метанольная вода),Экологические риски,Низкая,Средний,3.0,"a. Утечка метанола может вызвать пожары и взрывы из-за его высокой горючести и легковоспламеняемости, b. Утечка метанола может привести к отравлению работников и окружающей среды из-за его токсичности"
2,3,"Утечка сероводорода, сероводорода в смеси с углеводородами",Технологические риски,Средняя,Средний,5.0,"a. Утечка индустриального масла может вызвать пожары и взрывы из-за горючести масла и образования масляного тумана, b. Утечка индустриального масла может привести к загрязнению окружающей среды и повреждению оборудования, c. Утечка индустриального масла может создать скользкие поверхности, что увеличивает риск травматизма персонала, a. Утечка сероводорода или его смеси с углеводородами может вызвать риск отравления персонала, так как сероводород является высокотоксичным веществом, b. Утечка сероводорода может вызвать коррозию оборудования, связанного с обработкой и транспортировкой газа, c. Утечка сероводорода может привести к загрязнению окружающей среды"
3,4,Утечка топливного газа,Экологические риски,Высокая,Высокий,9.0,"a. Утечка топливного газа может вызвать риск взрыва и возгорания на территории предприятия , b. Утечка топливного газа может вызвать проблемы с дыхательной системой персонала и посетителей предприятия, c. Утечка топливного газа может привести к экологическому воздействию на окружающую среду и обитающих в ней организмов"
4,5,Утечка нефтегазоконденсатной смеси,Экологические риски,Средняя,Средний,5.0,"a. Утечка нефтегазоконденсатной смеси может вызвать возгорание или взрыв на территории предприятия, b. Утечка нефтегазоконденсатной смеси может вызвать отравления или проблемы с дыхательной системой персонала и посетителей предприятия, c. Утечка нефтегазоконденсатной смеси может привести к загрязнению окружающей среды, воздуха и водных ресурсов"
5,6,"Загазованность рабочих помещений и территории установки взрывоопасными парами и газами при утечке их через неплотности фланцевых соединений, сальниковых уплотнений, сварных швов, при коррозии аппаратуры с образованием сквозных отверстий, а также при разборке неподготовленных к ремонту аппаратов и трубопроводов.",Технологические риски,Высокая,Высокий,9.0,"a. Утечка газа через неплотности фланцевых соединений - риск взрыва и пожара, опасность для персонала, b. Утечка газа через сальниковые уплотнения, сварные швы, коррозию аппаратуры - риск отравления персонала, негативное воздействие на окружающую среду, c. Утечка газа при разборке неподготовленных к ремонту аппаратов и трубопроводов - дополнительный риск взрыва и пожара, опасность для персонала"
6,7,"Нарушения технологического режима работы оборудования и мер безопасности, предусмотренных регламентом и инструкциями по эксплуатации.",Риски персонала,Средняя,Средний,5.0,"a. Превышение допустимых параметров работы оборудования - износ и повреждение оборудования, риск аварий и травм , b. Несоблюдение инструкций по эксплуатации оборудования - неправильная работа оборудования, риск аварий и травм, c. Несоблюдение мер безопасности, предусмотренных регламентом - угроза безопасности персонала, возможность возникновения взрывов и пожаров"
7,8,"Применение при производстве ремонтных работ неисправного инструмента, дающего искру при ударах.",Технологические риски,Средняя,Средний,5.0,"a. Использование неисправного инструмента в зоне повышенной пожароопасности - риск возникновения пожара и взрыва, опасность для персонала и оборудования, b. Использование неисправного инструмента вблизи горючих и газообразных веществ - риск взрыва, возможность травм и аварийных ситуаций, c. Использование неисправного инструмента без средств индивидуальной защиты - повышенный риск травмирования рабочих"
8,9,Производство ремонтных работ на территории цеха и в рабочих помещениях с нарушением требований промышленной и пожарной безопасности.,Риски персонала,Средняя ,Высокий,6.0,"a. Ремонтные работы с использованием открытого огня без соблюдения пожарной безопасности - риск возникновения пожара и взрыва, опасность для персонала и оборудования , b. Ремонтные работы без использования средств индивидуальной защиты - риск травмирования рабочих, негативное влияние на процесс производства, c. Ремонтные работы без предварительного разрешения и оформления необходимой документации - риск нарушения технологического процесса, возможность аварий и непредвиденных ситуаций"
9,10,"Неисправность технологического оборудования, средств контроля и автоматизации, предохранительных клапанов, электрооборудования, а также средств защиты от статического электричества.",Технологические риски,Высокая,Высокий,9.0,"a. Отказ технологического оборудования - нарушение производственного процесса, риск аварий, взрывов и пожаров, b. Отказ средств контроля и автоматизации - потеря контроля над процессом, возможность непредвиденных ситуаций и аварий, c. Отказ предохранительных клапанов - риск перегрузки оборудования, возможность аварий и повреждений, d. Отказ электрооборудования - нарушение электроснабжения, возможность возникновения пожаров и аварий , e. Отказ средств защиты от статического электричества - риск возникновения искр, пожаров и взрывов"
10,11,Разряды статического электричества.,Технологические риски,Низкая,Низкий,2.0,"a. Разряд статического электричества вблизи горючих и взрывоопасных веществ - риск возникновения пожара и взрыва, опасность для персонала и оборудования, b. Разряд статического электричества в процессе обработки и транспортировки взрывоопасных материалов - риск аварий и непредвиденных ситуаций , c. Разряд статического электричества при контакте с электрооборудованием - возможность травм и поражения электрическим током"
11,12,Грозовые разряды.,Форс-мажорные риски,Очень низкая,Средний,2.0,"a. Грозовой разряд в области производственных объектов - риск повреждения оборудования, пожаров и взрывов, опасность для персонала, b. Грозовой разряд в электрооборудование - возможность короткого замыкания, повреждения оборудования и нарушения электроснабжения, c. Грозовой разряд в здания и сооружения - риск повреждения зданий, опасность для находящихся внутри людей"
12,13,"Взрывы, самовозгорание веществ и материалов.",Технологические риски,Низкая ,Высокий,6.0,"a. Взрыв или самовозгорание горючих и взрывоопасных веществ в результате нарушения технологического процесса, неправильного хранения или транспортировки - риск повреждения оборудования, зданий и сооружений, опасность для персонала, b. Самовозгорание пылевых частиц в воздухе или на поверхностях оборудования - риск возникновения пожаров и взрывов, опасность для персонала,  c. Взрыв или самовозгорание при контакте веществ с окислителями, химическими реагентами или воздействием высокой температуры - риск аварий, повреждения оборудования и опасность для персонала"
13,14,Нарушение правил безопасного проведения огневых и газоопасных работ.,Риски персонала,Средняя,Высокий,7.0,"a. Нарушение правил проведения огневых работ - риск возникновения пожаров и взрывов, опасность для персонала и оборудования, b. Нарушение правил проведения газоопасных работ - риск отравления персонала, возможность аварийных ситуаций, c. Несоблюдение требований по подготовке рабочих мест и обеспечению безопасности при проведении огневых и газоопасных работ - риск аварий, травмирования персонала и повреждения оборудования"
14,15,"Умышленные действия по уничтожению (повреждению) имущества, нанесение вреда здоровью человека при помощи огня.",Юридические риски,Низкая,Очень высокий,4.0,"a. Умышленное поджог или повреждение оборудования, зданий, и сооружений на территории предприятия - риск возникновения пожаров, взрывов и аварий, опасность для персонала и оборудования , b. Умышленное применение огня с целью нанесения вреда здоровью работников предприятия - риск травмирования и возможных летальных исходов, c. Умышленное создание опасных условий, способных вызвать возгорание или взрыв - риск аварийных ситуаций, опасность для персонала и оборудования"
15,16,"Переполнение емкостной аппаратуры (резервуаров, аппаратов, баллонов и другого оборудования) с розливом взрывопожароопасных и вредных продуктов.",Технологические риски,Средняя,Высокий,7.0,"a. Переполнение емкостей из-за сбоя в системе контроля уровня, ошибки оператора или неисправности оборудования - риск розлива взрывопожароопасных и вредных продуктов, возникновения пожаров, взрывов и аварий, опасность для персонала и оборудования,  b. Нарушение технологического процесса, приводящее к переполнению аппаратуры и розливу опасных продуктов - риск экологического загрязнения, опасность для персонала и оборудования, c. Утечка вредных продуктов при переполнении емкостей и последующее их попадание в окружающую среду, опасность для здоровья персонала"
16,17,"Пожар, связанный с розливом взрывопожароопасных веществ (неконтролируемое горение, причинившее материальный ущерб, вред жизни и здоровью людей, интересам общества и окружающей природной среде).",Технологические риски,Низкая,Очень высокий,6.0,"a. Розлив взрывопожароопасных веществ из-за аварии, повреждения оборудования или трубопроводов - риск возникновения пожаров, взрывов, опасность для персонала и окружающей среды, b. Горение розлитых взрывопожароопасных веществ из-за статического электричества, искр, горячих поверхностей, нарушения правил пожарной безопасности - риск быстрого распространения пожара, повреждения оборудования, опасность для жизни и здоровья персонала, c. Неконтролируемое горение розлитых взрывопожароопасных веществ - риск экологического воздействия на окружающую среду и общественные интересы"
17,18,"Выброс или истечение химически опасных, взрывоопасных и горючих веществ.",Экологические риски,Средняя,Высокий,7.0,"a. Авария, повреждение оборудования или трубопроводов, приводящие к выбросу или истечению опасных веществ - риск загрязнения окружающей среды, опасность для жизни и здоровья персонала , b. Нарушение технологического процесса или ошибки оператора, приводящие к выбросу или истечению химически опасных, взрывоопасных и горючих веществ - риск возникновения пожаров, взрывов, опасность для персонала и оборудования, c. Выброс опасных веществ в атмосферу или истечение в почву и водоемы - риск экологического воздействия на окружающую среду и общественные интересы"
18,19,"Неудовлетворительное состояние технологического оборудо­вания средств КИПиА, приспособлений и инструмента.",Технологические риски,Средняя,Средний,5.0,"a. Отказ или сбой технологического оборудования, средств КИПиА, приспособлений и инструмента из-за износа, неправильной эксплуатации или аварий - риск нарушения производственного процесса, возникновения аварийных ситуаций, опасность для персонала и оборудования, b. Неправильное отображение показателей и контроля параметров процесса, приводящее к ошибкам в управлении и нарушению технологического режима - риск возникновения пожаров, взрывов, отравлений, опасность для жизни и здоровья персонала, c. Использование неисправного инструмента, дающего искру или приводящего к разрядам статического электричества - риск возникновения пожаров и взрывов, повреждения оборудования и опасности для персонала"
19,20,Недостатки в организации и средствах сигнализации о при­ближении и наступлении опасности.,Риски персонала,Низкая ,Средний,3.0,"a. Отсутствие или неисправность средств сигнализации, не позволяющие своевременно определить и предупредить персонал о приближении или наступлении опасных ситуаций - риск возникновения аварий, опасность для персонала и оборудования,  b. Ошибки оператора или неправильное понимание сигналов сигнализации, приводящие к неправильным решениям и действиям - риск нарушения производственного процесса, возникновения пожаров, взрывов, отравлений, c. Отсутствие или неправильное использование средств оповещения и связи между персоналом при возникновении аварийных ситуаций - риск задержки реагирования и принятия мер по ликвидации аварий, опасность для жизни и здоровья персонала"
20,21,Коррозия труб под воздействием химической и биологической среды,Технологические риски,Средняя,Средний,5.0,"a. Протекание или разрушение трубопроводов из-за коррозии, вызванной химическими или биологическими агентами - возможность утечки взрывоопасных, токсичных или окисляющих веществ, риск взрыва, пожара, отравления персонала , b. Ослабление структуры трубопроводов из-за коррозии, что может привести к их деформации, утечке продуктов или нарушению работы оборудования - риск аварий, нарушения технологического процесса, повреждения оборудования , c. Засорение трубопроводов коррозионными продуктами, что может привести к нарушению циркуляции рабочей среды и неэффективной работе оборудования - риск прерывания производственного процесса, повреждения оборудования, аварий"
21,22,Деформация грунта,Технологические риски,Низкая,Средний,3.0,"a. Подтопление или оползни под влиянием атмосферных осадков, изменения грунтовых вод или сейсмической активности, что может привести к деформации грунта под оборудованием и трубопроводами - риск нарушения целостности и стабильности оборудования и трубопроводов, утечка продуктов, аварии , b. Оседание грунта под фундаментами зданий и сооружений, что может привести к деформации структур, нарушению работы оборудования и повреждениям - риск аварий, нарушения производственного процесса, повреждения оборудования, c. Обрушение насыпей или оползни, которые могут повредить оборудование, трубопроводы и здания - риск аварий, нарушения производственного процесса, повреждения оборудования, опасность для персонала"
22,23,Использование малоизученной технологии для добычи газа,Стратегические риски,Низкая,Высокий,4.0,"a. Непредсказуемые технологические сбои, связанные с использованием новых и малоизученных технологий для добычи газа - риск нарушения производственного процесса, аварий, повреждения оборудования, опасность для персонала, b. Неправильная эксплуатация оборудования из-за недостаточной информации о его работе, что может привести к неэффективной добыче газа, утечкам, авариям и другим опасным ситуациям - риск аварий, повреждения оборудования, экологического ущерба, опасность для персонала, c. Ошибки в проектировании и строительстве объектов, связанных с использованием малоизученной технологии добычи газа, что может привести к структурным дефектам, нарушению работы оборудования и авариям - риск аварий, нарушения производственного процесса, повреждения оборудования, опасность для персонала"
23,24,Выход из строя потокового газового взрывозащищённого хроматографа,Технологические риски,Очень низкая,Высокий,3.0,"a. Отказ хроматографа приводит к неправильному анализу состава газа и нарушению технологического процесса - риск аварий, нарушения производственного процесса, повреждения оборудования, опасность для персонала,  b. Отказ хроматографа может привести к неконтролируемому выбросу опасных веществ или взрывоопасных газов, что создает угрозу пожара, взрыва или отравления персонала - риск пожара, взрыва, опасности для персонала, экологического ущерба, c. Выход из строя хроматографа может привести к невозможности своевременно обнаружить и устранить аварийные ситуации, что увеличивает риск аварий, повреждения оборудования и опасности для персонала"
24,25,Выход из строя газоанализатора,Технологические риски,Очень низкая,Средний,2.0,"a. Отказ газоанализатора приводит к неправильному анализу состава газа и нарушению технологического процесса - риск аварий, нарушения производственного процесса, повреждения оборудования, опасность для персонала, b. Отказ газоанализатора может привести к неконтролируемому выбросу опасных веществ или взрывоопасных газов, что создает угрозу пожара, взрыва или отравления персонала - риск пожара, взрыва, опасности для персонала, экологического ущерба, c. Выход из строя газоанализатора может привести к невозможности своевременно обнаружить и устранить аварийные ситуации, что увеличивает риск аварий, повреждения оборудования и опасности для персонала"
25,26,Выход из строя электрохимического датчика газа,Технологические риски,Очень низкая,Высокий,3.0,"a. Отказ электрохимического датчика газа приводит к невозможности своевременного обнаружения наличия опасных газов, что может привести к отравлению персонала, пожарам или взрывам - риск аварий, опасности для персонала, b. Отказ датчика может привести к нарушению технологического процесса, так как необходимая информация о составе газа будет отсутствовать - повреждение оборудования, снижение производительности, увеличение затрат на ремонт и восстановление, c. Выход из строя электрохримического датчика газа может привести к аварийным ситуациям, связанным с неконтролируемым выбросом опасных газов, угрозой пожара или взрыва"
26,27,Выход из строя термохимического (термокаталитического) датчика газа,Технологические риски,Очень низкая,Средний,2.0,"a. Выход из строя датчика может привести к недостоверным или отсутствующим данным о концентрации взрывоопасных и горючих газов, что может вызвать риск взрыва и возгорания на территории предприятия,  b. Отсутствие контроля за концентрацией горючих газов может привести к проблемам с дыхательной системой персонала и посетителей предприятия , c. Недостаточный контроль за уровнем газов может привести к экологическому воздействию на окружающую среду и обитающих в ней организмов"
27,28,Выход из строя полупроводникового датчика газа,Технологические риски,Очень низкая,Средний,2.0,"a. Выход из строя датчиков может привести к невозможности обнаружения утечек опасных газов, что создает риск аварий, пожаров и взрывов, а также воздействия на здоровье персонала, b. Выход из строя датчиков может привести к авариям на оборудовании из-за неконтролируемого уровня газов в рабочей среде , c. Выход из строя датчиков может вызвать проблемы с экологическим контролем и соблюдением нормативных показателей"
28,29,Выход из строя датчики загазованности,Технологические риски,Очень низкая,Высокий,3.0,"a. Отказ датчиков загазованности может привести к невозможности своевременного обнаружения опасных концентраций газов, что повышает риск отравления персонала, пожаров или взрывов , b. Неисправность датчиков загазованности может спровоцировать нарушение технологического процесса, так как необходимая информация о состоянии загазованности рабочих зон будет недоступна - повреждение оборудования, снижение производительности, увеличение затрат на ремонт и восстановление, c. Выход из строя датчиков загазованности может привести к аварийным ситуациям, связанным с неконтролируемым выбросом опасных газов, угрозой пожара или взрыва"
29,30,Неисправность ротационных счетчиков,Технологические риски,Низкая ,Низкий,2.0,"a. Отказ ротационных счетчиков может привести к некорректному учету объемов перекачиваемых жидкостей и газов, что может спровоцировать переполнение емкостей или неправильную подачу компонентов, ведущую к нарушению технологического процесса, b. Неисправность ротационных счетчиков может вызвать ошибки в расчете и контроле транспортировки продукции, что приведет к потере времени и увеличению затрат на исправление ошибок, c. Выход из строя ротационных счетчиков может стать причиной аварийных ситуаций, связанных с неправильным распределением грузов, перегрузкой оборудования или непредвиденным смешиванием химически активных веществ"
30,31,Неисправность газовых фильтров,Технологические риски,Низкая,Средний,3.0,"a. Отказ газовых фильтров может привести к неправильной очистке газовых потоков, что вызовет засорение оборудования, ухудшение качества продукции и снижение эффективности технологического процесса, b. Неисправность газовых фильтров может вызвать утечки газов, что приведет к загазованности рабочих помещений, возможному взрыву, пожару или отравлению персонала , c. Выход из строя газовых фильтров может стать причиной аварийных ситуаций, связанных с непредвиденным смешиванием химически активных веществ или неконтролируемыми химическими реакциями"
31,32,Неисправность задвижек,Технологические риски,Низкая,Высокий,4.0,"a. Срабатывание уплотнительных поверхностей на дисках и корпусе, что приводит к прохождению газа через закрытую задвижку и угрозе утечки газа и взрыва., b. Отрыв дисков от шпинделя и его искривление, что делает невозможным перекрытие газа и повышает вероятность утечки газа и взрыва. , d. Утечка газа через сальник задвижки, которая может вызвать взрыв или задымление рабочей зоны. "
32,33,Неисправность ПЗК,Технологические риски,Низкая ,Средний,3.0,"a. Клапан не перекрывает подачу газа из-за засорения или дефекта седла, что может привести к неконтролируемому выходу газа на установке, создавая опасные условия для персонала и окружающей среды, b. Клапан перекрывает подачу газа без повышения давления газа регулятором, что может привести к снижению производительности оборудования и возможным авариям, c. Клапан при настройке не открывается, что может вызвать сбои в работе оборудования и потенциально опасные ситуации для персонала"
33,34,Неисправности регуляторов давления типа РД,Технологические риски,Низкая ,Низкий,2.0,"a. Нарушение целостности мембраны может привести к неконтролируемому увеличению давления, что повлечет риск взрыва или аварии, b. Засорение фильтра перед регулятором или обледенение клапана регулятора может вызвать резкое падение давления, что может повлечь остановку процессов и экономические потери, c. Пульсация давления газа в результате неправильного выбора точки прикрепления импульсной трубки или засорения импульсной трубки может вызвать колебания в работе оборудования и снижение его эффективности"
34,35,Неисправности регуляторов давления типов РДС и РДУК,Технологические риски,Низкая ,Низкий,2.0,"a. Регулятор давления перестает подавать газ потребителям из-за различных неисправностей, таких как разрыв мембраны, выход из строя пружины пилота или засорение импульсной трубки, b. Регулятор повышает давление газа из-за неплотного закрытия клапана, разрыва мембраны пилота или заедания штока клапана, c. ""Качка"" регулятора приводит к недопустимым колебаниям выходного давления газа, что может вызвать проблемы в работе оборудования и угрожать безопасности персонала"
35,36,Неисправности регуляторов давления типа РДП,Технологические риски,Низкая ,Низкий,2.0,"a. Отсутствие входного давления, что может привести к неполадкам в процессе работы оборудования и возникновению аварийных ситуаций , b. Регулятор повышает выходное давление, что может вызвать проблемы с оборудованием и риск взрывов , c. Падение выходного давления, что может привести к неконтролируемому снижению эффективности работы оборудования , d. Нестабильность работы регулятора, что может создать потенциально опасные условия для персонала и окружающей среды"
36,37,Выход из строя нагревательных печей,Технологические риски,Очень низкая,Высокий,3.0,"a. Выход из строя нагревательных печей может привести к нарушению технологического процесса, остановке производства, и потере производственного времени, b. Неисправность нагревательных печей может вызвать пожары и взрывы из-за перегрева или утечки горючих веществ, c. Выход из строя нагревательных печей может привести к травмам работников, повреждению оборудования и инфраструктуры, а также воздействию на окружающую среду"
37,38,Выход из строя электрообессоливающей установки,Технологические риски,Очень низкая,Средний,2.0,"a. Выход из строя электрообессоливающей установки может привести к неправильному очищению сырья, снижению качества продукции и потере производственного времени, b. Неисправность электрообессоливающей установки может вызвать повышение коррозии оборудования, засорение трубопроводов и нарушение технологического процесса , c. Выход из строя электрообессоливающей установки может привести к травмам работников, повреждению оборудования и инфраструктуры, а также воздействию на окружающую среду"
38,39,Выход из строя аппарата воздушного охлаждения,Технологические риски,Очень низкая,Низкий,1.0,"a. Выход из строя аппарата воздушного охлаждения может привести к перегреву оборудования, что вызовет автоматическое отключение системы и простой производства, b. Неисправность аппарата воздушного охлаждения может вызвать увеличение давления и температуры в системе, что в свою очередь может привести к аварийным ситуациям, таким как утечка вредных веществ, повреждение оборудования или пожар, c. Выход из строя аппарата воздушного охлаждения может способствовать образованию ледяных отложений на оборудовании при низких температурах окружающей среды, что может вызвать деформацию и поломки оборудования"
39,40,Неисправность емкости для хранения и резервуаров,Технологические риски,Низкая,Средний,3.0,a. Разрушение или протечка резервуаров - утечка сырья или продуктов - загрязнение окружающей среды
40,41,Выход из строя компрессора,Технологические риски,Низкая ,Высокий,4.0,"a. Выход из строя компрессора может привести к снижению производительности и простою технологического процесса, что может привести к экономическим потерям, b. Неисправность компрессора может вызвать утечку химически опасных веществ, что представляет угрозу для окружающей среды и здоровья персонала, c. Выход из строя компрессора может способствовать образованию взрывоопасной среды, что может привести к пожару или взрыву"
41,42,Выход из строя насосного оборудования,Технологические риски,Низкая,Средний,3.0,"a. Остановка насоса может привести к неполадкам в циркуляции веществ и сырья в технологическом процессе, что может вызвать накопление вредных веществ и создание взрывоопасной среды, b. Неисправность насоса может вызвать утечку химически опасных веществ, что представляет угрозу для окружающей среды и здоровья персонала, c. Выход из строя насоса может вызвать нарушение теплового режима оборудования, что может привести к перегреву и выходу из строя других систем и элементов завода"
42,43,Выход из строя газофракционирующей установки,Технологические риски,Низкая ,Высокий,4.0,"a. Остановка газофракционирующей установки может привести к перерыву в процессе разделения газовых компонентов и нарушению качества продукции, b. Неисправность установки может вызвать выбросы химически опасных веществ, что представляет угрозу для окружающей среды и здоровья персонала, c. Выход из строя установки может привести к нарушению давления в других частях системы и выходу из строя соседних участков завода"
43,44,Выход из строя узла замера количества газа,Технологические риски,Низкая ,Средний,3.0,"a. Отказ узла замера количества газа может привести к неконтролируемому потоку газа и неправильному расчету количества добытого и потребляемого газа, b. Ошибка в работе узла замера может привести к нарушению режимов работы технологического оборудования, что может вызвать аварии и простои, c. Выход из строя узла замера может привести к перерасходу газа и экономическим потерям для предприятия"
44,45,Выход из строя сепарационного оборудования,Технологические риски,Низкая ,Высокий,4.0,"a. Отказ сепарационного оборудования может привести к нарушению процесса разделения жидкостей и газов, что вызовет снижение эффективности производства и возможное загрязнение продуктов, b. Выход из строя сепарационного оборудования может привести к аварийным ситуациям, таким как взрывы и пожары из-за смешивания горючих веществ, c. Отказ сепарационного оборудования может вызвать аварийное остановку технологического процесса и простои на предприятии"
45,46,Выход из строя факельной установки,Технологические риски,Очень низкая,Средний,2.0,"a. Отказ факельной установки может привести к неконтролируемому выбросу горючих и взрывоопасных газов, что создаст угрозу возникновения пожаров и взрывов на территории предприятия, b. Выход из строя факельной установки может вызвать неполное сжигание газов, что приведет к выбросам вредных и токсичных веществ в атмосферу и негативному воздействию на окружающую среду , c. Отказ факельной установки может привести к аварийному останову производственного процесса и экономическим потерям для предприятия"
46,47,Выход из строя каскадной холодильной установки,Технологические риски,Очень низкая,Низкий,1.0,"a. Отказ каскадной холодильной установки может привести к перегреву и разрушению оборудования, обслуживаемого данной системой, что может вызвать аварии на производственном участке, b. Выход из строя холодильной установки может повлечь за собой увеличение энергопотребления, что приведет к экономическим потерям, c. Неисправность каскадной холодильной установки может привести к нарушению технологического процесса и снижению качества продукции"
47,48,Выход из строя установки очистки газа и сероводорода,Технологические риски,Низкая,Высокий,4.0,"a. Отказ установки очистки газа и сероводорода может привести к неконтролируемому выбросу токсичных газов, что создает серьезные опасности для здоровья персонала и окружающей среды, b. Выход из строя установки очистки газа и сероводорода может привести к нарушению технологического процесса и снижению качества продукции, c. Неисправность установки очистки газа и сероводорода может вызвать аварии на производственном участке, если не будет обеспечена своевременная ликвидация последствий отказа оборудования"
48,49,Выход из строя установки компримирования нефтяного и сухого отбензиненного газа,Технологические риски,Низкая ,Высокий,4.0,"a. Отказ установки компримирования нефтяного и сухого отбензиненного газа может привести к снижению производительности завода и потере давления газа, b. Выход из строя установки компримирования газа может вызвать выбросы вредных и взрывоопасных газов в атмосферу, что создает риск пожара, взрыва и негативное воздействие на окружающую среду, c. Выход из строя установки компримирования газа может привести к аварийным ситуациям и повышению риска несчастных случаев среди персонала"
